token,surprisal,token_id,model,condition,phenomenon,test_item,original_condition
Ġfor,0.2734252,12,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġthe,0.6886049,13,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġnew,5.06474,14,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġpress,11.291476,15,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
Ġbriefing,9.193572,16,text-davinci-002,grammatical,Anaphora,TS 2,grammatical
The,3.609791,0,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġpopular,7.4191637,1,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġsheriff,11.959841,2,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġwho,3.2576833,3,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġcampaigned,7.5629025,4,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġfor,1.2900977,5,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġthe,2.1748145,6,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġincumbent,8.766144,7,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġpoliticians,10.026555,8,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġnever,8.476933,9,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġprepared,9.1834,10,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġthemselves,7.9780045,11,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġfor,0.1250801,12,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġthe,0.66507035,13,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġnew,5.4663687,14,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġpress,11.813288,15,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
Ġbriefing,8.33382,16,text-davinci-002,ungrammatical,Anaphora,TS 2,grammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġconstruction,8.4865265,1,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġworker,6.2275786,2,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġwho,0.7561209,3,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġargued,10.533012,4,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġwith,0.9761458,5,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġthe,2.3981152,6,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġshift,10.356159,7,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġleaders,7.2831063,8,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġundeniably,15.997016,9,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġhurt,7.871319,10,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġhimself,2.7705178,11,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġon,3.594604,12,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġthe,0.17845051,13,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġconstruction,4.2577705,14,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
Ġsite,0.15219878,15,text-davinci-002,grammatical,Anaphora,TS 3,grammatical
The,3.6097894,0,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġconstruction,8.486526,1,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġworker,6.2275786,2,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġwho,0.75612,3,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġargued,10.533012,4,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġwith,0.9761458,5,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġthe,2.3981152,6,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġshift,10.356159,7,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġleaders,7.2831063,8,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġundeniably,15.997014,9,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġhurt,7.871319,10,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġthemselves,7.201272,11,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġon,4.1622524,12,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġthe,0.21238898,13,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġconstruction,3.878594,14,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
Ġsite,0.14542916,15,text-davinci-002,ungrammatical,Anaphora,TS 3,grammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġyoung,8.049825,1,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġc,8.781994,2,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
addy,4.331684,3,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġwho,3.1772206,4,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġescorted,7.3752317,5,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġthe,2.7093906,6,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġexperienced,10.538444,7,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġgolf,1.8088439,8,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
ers,0.49966356,9,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġsupposedly,12.540807,10,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġdirt,12.642405,11,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
ied,0.16346301,12,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġhimself,3.1579783,13,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġby,2.446144,14,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġfalling,5.1896634,15,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġin,2.0867734,16,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġthe,1.0117981,17,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
Ġsand,2.0352075,18,text-davinci-002,grammatical,Anaphora,TS 4,grammatical
The,3.609791,0,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġyoung,8.049825,1,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġc,8.781994,2,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
addy,4.331684,3,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġwho,3.1772206,4,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġescorted,7.3752317,5,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġthe,2.7093906,6,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġexperienced,10.538444,7,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġgolf,1.8088439,8,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
ers,0.49966356,9,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġsupposedly,12.540807,10,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġdirt,12.642405,11,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
ied,0.16346301,12,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġthemselves,6.7037764,13,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġby,2.6365366,14,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġfalling,5.7112627,15,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġin,2.308482,16,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġthe,0.90672076,17,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
Ġsand,2.16635,18,text-davinci-002,ungrammatical,Anaphora,TS 4,grammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġpolice,7.181997,1,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġofficer,4.3163953,2,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġwho,0.75731343,3,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġaided,10.221916,4,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġthe,1.6709769,5,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġbrilliant,11.249104,6,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġdetectives,6.2029104,7,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġreportedly,13.472054,8,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġdisguised,9.492535,9,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġhimself,0.64383036,10,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġto,4.135301,11,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġget,3.137211,12,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġmore,4.666687,13,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
Ġinformation,0.4353885,14,text-davinci-002,grammatical,Anaphora,TS 5,grammatical
The,3.609791,0,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġpolice,7.181997,1,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġofficer,4.3163953,2,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġwho,0.75731343,3,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġaided,10.221916,4,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġthe,1.6709769,5,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġbrilliant,11.249104,6,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġdetectives,6.2029104,7,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġreportedly,13.472054,8,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġdisguised,9.492535,9,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġthemselves,4.274185,10,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġto,3.7384658,11,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġget,3.1374962,12,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġmore,4.988061,13,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
Ġinformation,0.6567502,14,text-davinci-002,ungrammatical,Anaphora,TS 5,grammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġfootball,9.170101,1,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġreferee,8.203494,2,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġwho,2.0876572,3,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġargued,10.417402,4,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġwith,0.23321787,5,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġthe,2.9052267,6,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġlarge,10.060971,7,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġquarterbacks,11.651735,8,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġsurprisingly,13.0057335,9,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġexc,11.156501,10,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
used,0.07592969,11,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġhimself,1.6159127,12,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġfrom,0.87973684,13,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġthe,0.43024093,14,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġimportant,7.882675,15,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
Ġgame,1.0823092,16,text-davinci-002,grammatical,Anaphora,TS 6,ungrammatical
The,3.609791,0,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġfootball,9.170101,1,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġreferee,8.203494,2,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġwho,2.0876572,3,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġargued,10.417402,4,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġwith,0.23321787,5,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġthe,2.9052267,6,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġlarge,10.060971,7,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġquarterbacks,11.651735,8,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġsurprisingly,13.0057335,9,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġexc,11.156501,10,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
used,0.07592969,11,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġthemselves,5.653326,12,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġfrom,1.090076,13,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġthe,0.45826074,14,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġimportant,8.047636,15,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
Ġgame,1.1342967,16,text-davinci-002,ungrammatical,Anaphora,TS 6,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġsom,12.129839,1,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
ber,1.2298194,2,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġminister,10.673929,3,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġwho,4.895111,4,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġconvers,11.133696,5,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
ed,0.35426414,6,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġwith,0.29922357,7,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġthe,1.6158981,8,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġreligious,8.346093,9,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġscholars,7.6285667,10,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġusually,9.139168,11,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġpresented,5.7993526,12,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġhimself,1.9651797,13,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġas,0.9190751,14,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġvery,6.192533,15,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
Ġopen,6.7837725,16,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
-,0.99107796,17,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
minded,0.0026133556,18,text-davinci-002,grammatical,Anaphora,TS 7,ungrammatical
The,3.609791,0,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġsom,12.129839,1,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
ber,1.2298194,2,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġminister,10.673929,3,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġwho,4.895111,4,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġconvers,11.133696,5,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
ed,0.35426414,6,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġwith,0.29922357,7,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġthe,1.6158981,8,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġreligious,8.346093,9,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġscholars,7.6285667,10,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġusually,9.139168,11,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġpresented,5.7993526,12,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġthemselves,6.81744,13,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġas,0.9495294,14,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġvery,5.550019,15,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
Ġopen,6.637781,16,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
-,1.0576168,17,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
minded,0.0035150182,18,text-davinci-002,ungrammatical,Anaphora,TS 7,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġserious,10.495171,1,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġgeneral,8.903177,2,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġwho,5.5883026,3,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġadvised,7.8166084,4,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġthe,1.7984084,5,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġnew,4.3059,6,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġcorpor,11.289093,7,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
als,3.2078736,8,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġseemingly,13.86187,9,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġcommitted,7.78446,10,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġhimself,4.069092,11,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġto,0.27999896,12,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġthe,1.3757354,13,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġtraining,6.5976906,14,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
Ġregimen,5.775992,15,text-davinci-002,grammatical,Anaphora,TS 8,ungrammatical
The,3.6097894,0,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġserious,10.495172,1,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġgeneral,8.903178,2,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġwho,5.5883017,3,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġadvised,7.8166084,4,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġthe,1.7984084,5,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġnew,4.3059,6,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġcorpor,11.289093,7,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
als,3.2078736,8,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġseemingly,13.861872,9,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġcommitted,7.78446,10,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġthemselves,6.4934587,11,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġto,0.28413174,12,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġthe,1.5305405,13,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġtraining,6.676366,14,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
Ġregimen,5.3801093,15,text-davinci-002,ungrammatical,Anaphora,TS 8,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġparanoid,13.149693,1,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġfore,9.919453,2,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
man,3.230989,3,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġwho,4.444756,4,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġsupervised,5.6076007,5,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġthe,0.6865267,6,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġcoal,10.300201,7,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġminers,3.5466151,8,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġpresumably,10.800787,9,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġsaved,6.637426,10,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġhimself,4.1195335,11,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġafter,5.2637267,12,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġthe,1.5530947,13,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġawful,8.608524,14,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
Ġcave,2.4040654,15,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
-,0.055063836,16,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
in,0.004031145,17,text-davinci-002,grammatical,Anaphora,TS 9,ungrammatical
The,3.609791,0,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġparanoid,13.149693,1,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġfore,9.919453,2,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
man,3.230989,3,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġwho,4.444756,4,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġsupervised,5.6076007,5,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġthe,0.6865267,6,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġcoal,10.300201,7,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġminers,3.5466151,8,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġpresumably,10.800787,9,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġsaved,6.637426,10,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġthemselves,5.2150955,11,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġafter,4.6030493,12,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġthe,1.0798106,13,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġawful,9.104194,14,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
Ġcave,2.8159332,15,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
-,0.1313698,16,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
in,0.0116200745,17,text-davinci-002,ungrammatical,Anaphora,TS 9,ungrammatical
The,3.609791,0,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
Ġgrim,11.539574,1,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
y,3.8330562,2,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
Ġblack,6.31534,3,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
smith,5.4694357,4,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
Ġwho,3.8126554,5,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
Ġworked,4.454931,6,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
Ġfor,3.2449222,7,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
Ġthe,0.8839731,8,text-davinci-002,grammatical,Anaphora,TS 10,ungrammatical
