"participant","gender","age","language","speech_therapy","mental_conditions","sentence","test_item","phenomenon","condition","accuracy","repetition","stability"
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The football referee who argued with the large quarterbacks surprisingly excused themselves from the important game","TS 6","Anaphora","ungrammatical",0,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The somber minister who conversed with the religious scholars usually presented themselves as very open-minded","TS 7","Anaphora","ungrammatical",0,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The serious general who advised the new corporals seemingly committed themselves to the training regimen","TS 8","Anaphora","ungrammatical",0,10,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,1,NA
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,2,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,3,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,4,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,5,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,6,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,7,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,8,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,9,0
"Anaphora__LLM_277486.csv","female",34,"english","no","no","The paranoid foreman who supervised the coal miners presumably saved themselves after the awful cave-in","TS 9","Anaphora","ungrammatical",0,10,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,4,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new door is red","CHECK1","attention check","grammatical",1,5,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,4,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","Red is new door the","CHECK2","attention check","ungrammatical",1,5,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,4,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,5,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,6,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,7,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,8,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,9,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The new executive who oversaw the middle managers apparently doubted himself on most major decisions","TS 1","Anaphora","grammatical",1,10,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,4,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,5,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,6,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",0,7,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",1,8,1
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",1,9,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The grimy blacksmith who worked for the royal knights evidently hurt themselves with the sharp tools","TS 10","Anaphora","ungrammatical",1,10,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,2,1
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",1,4,1
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,5,1
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,6,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,7,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,8,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,9,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The popular sheriff who campaigned for the incumbent politicians never prepared himself for the new press briefing","TS 2","Anaphora","grammatical",0,10,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,4,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,5,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,6,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,7,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,8,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,9,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The construction worker who argued with the shift leaders undeniably hurt himself on the construction site","TS 3","Anaphora","grammatical",1,10,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,4,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,5,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,6,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,7,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,8,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,9,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The young caddy who escorted the experienced golfers supposedly dirtied himself by falling in the sand","TS 4","Anaphora","grammatical",1,10,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,1,NA
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,2,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,3,0
"Anaphora__LLM_481645.csv","male",23,"english","no","no","The police officer who aided the brilliant detectives reportedly disguised himself to get more information","TS 5","Anaphora","grammatical",1,4,0
